scenario,sku,method,T,avg_regret,std_regret,avg_regret_per_period,avg_oracle_revenue,avg_realized_revenue,relative_regret,n_trials
real_semisynth,Envelopes SKU 24,mymethod,500,348.88394919231985,14.67692733592594,0.6977678983846397,13254.320384545961,12905.436435353644,0.026322281269064947,50
real_semisynth,Envelopes SKU 24,dip,550,727.69717672137,66.49388714249797,1.3230857758570365,14579.735859578872,13852.038682857503,0.04991154735106355,50
real_semisynth,Envelopes SKU 24,kernel_baseline,550,1289.187248751889,10.655836588999366,2.3439768159125256,14579.79524291089,13290.607994159001,0.08842286378327079,50
real_semisynth,Envelopes SKU 24,mymethod,550,381.78804798941695,14.776069303059682,0.6941600872534853,14579.74613764058,14197.958089651165,0.026186193119217174,50
real_semisynth,Envelopes SKU 24,dip,600,802.1231156415564,67.7268883329936,1.3368718594025941,15905.17743592015,15103.054320278592,0.05043157291851688,50
real_semisynth,Envelopes SKU 24,kernel_baseline,600,1445.711126461369,10.656780343111645,2.4095185441022817,15905.247350285385,14459.53622382402,0.09089523065074678,50
real_semisynth,Envelopes SKU 24,mymethod,600,414.70572243429706,14.99833889421777,0.6911762040571617,15905.181815689944,15490.476093255647,0.026073623504586623,50
real_semisynth,Envelopes SKU 24,dip,650,875.163179261745,70.11038912150191,1.3464048911719153,17230.605613166896,16355.442433905153,0.05079120252122668,50
real_semisynth,Envelopes SKU 24,kernel_baseline,650,1602.1781117854866,10.686924972148125,2.4648894027469024,17230.64256527452,15628.464453489036,0.0929842346689037,50
real_semisynth,Envelopes SKU 24,mymethod,650,447.6723609536732,15.173249569310967,0.6887267091594972,17230.61457009015,16782.942209136476,0.025981218437255718,50
real_semisynth,Envelopes SKU 24,dip,700,946.8417899451373,72.18362257149538,1.3526311284930532,18556.02797983401,17609.186189888875,0.05102610272921173,50
real_semisynth,Envelopes SKU 24,kernel_baseline,700,1758.7106034908593,10.640479225736895,2.5124437192726563,18556.103286644942,16797.392683154085,0.09477801326729116,50
real_semisynth,Envelopes SKU 24,mymethod,700,481.00647510276684,15.53525318261903,0.6871521072896669,18556.06191125021,18075.05543614744,0.025921797275915596,50
real_semisynth,Envelopes SKU 25,dip,100,18.141159340575626,1.4544302942933636,0.18141159340575627,1302.4086314493327,1284.267472108757,0.013928930523431783,50
real_semisynth,Envelopes SKU 25,kernel_baseline,100,29.796125351550955,1.7450324739705483,0.29796125351550956,1302.5683908031708,1272.7722654516197,0.022874902816564204,50
real_semisynth,Envelopes SKU 25,mymethod,100,18.122791177664173,1.803994530098084,0.18122791177664171,1302.4086314493327,1284.2858402716683,0.013914827297709905,50
real_semisynth,Envelopes SKU 25,dip,150,31.566807782009697,2.151317038037703,0.21044538521339798,1953.3363860491465,1921.769578267137,0.01616045654371764,50
real_semisynth,Envelopes SKU 25,kernel_baseline,150,50.6112760657368,1.9019580777678322,0.337408507104912,1954.0058555669395,1903.3945795012028,0.0259012919135047,50
real_semisynth,Envelopes SKU 25,mymethod,150,27.056512882942833,2.4579802094570815,0.1803767525529522,1953.1795685643413,1926.1230556813982,0.013852547568286496,50
real_semisynth,Envelopes SKU 25,dip,200,48.33690615455635,2.913754472284139,0.24168453077278176,2604.6801719294594,2556.3432657749026,0.01855771264183656,50
real_semisynth,Envelopes SKU 25,kernel_baseline,200,61.93306764341419,2.5672064885266646,0.30966533821707093,2605.0885617132813,2543.1554940698675,0.02377388183789147,50
real_semisynth,Envelopes SKU 25,mymethod,200,35.886651333654385,2.847000405767752,0.17943325666827192,2604.1501873421307,2568.263536008476,0.013780561316350696,50
real_semisynth,Envelopes SKU 25,dip,250,64.72902517704526,3.8401429015891657,0.25891610070818105,3255.5482695003657,3190.8192443233206,0.019882680218094057,50
real_semisynth,Envelopes SKU 25,kernel_baseline,250,75.2156967492846,2.9694714024248157,0.3008627869971384,3256.159120275198,3180.943423525913,0.023099515094620948,50
real_semisynth,Envelopes SKU 25,mymethod,250,45.02593898925595,3.2281170730191047,0.1801037559570238,3255.3205144732883,3210.2945754840316,0.01383149179599022,50
real_semisynth,Envelopes SKU 25,dip,300,82.49750997851963,4.374469220766066,0.2749916999283988,3906.672660773042,3824.175150794522,0.021117077662246533,50
